Company,Job Title,Salary
NOBORDERZ INNOVATIONS,Machine Learning Engineer,"Rs 90,000 a month"
DGB Technologies,Machine/Deep/Reinforcement Learning Engineer,No Salary
Odyssey Analytics,Senior Machine Learning Engineer,No Salary
Caramel Tech Studios,Machine Learning Engineer,No Salary
Confiz,Senior Machine Learning Engineer,No Salary
Algo,Natural Language Processing (NLP) Engineer,No Salary
Xavor Corporation,Senior Robotics Engineer,No Salary
eMumba,Senior QA Engineer,No Salary
eMumba,Senior React Engineer,No Salary
DreamBig Semiconductors,Technical Program Manager,No Salary
Programmers Force,Devops Engineer,No Salary
Machine learning 1,Mid level Ux/Ui designer,No Salary
DGB Technologies,Python Developer,No Salary
Broadstone technologies,Senior Software Engineer (IoT),No Salary
Teknovate,Devops Engineer- GCP,No Salary
10Pearls,Distinguished/Principal Software Engineer - Python + Machine...,No Salary
Confiz,Big Data Architect,No Salary
AIWORKS.AI,Senior Backend Developer (Python),No Salary
Programmers Force,Sr devOps engineer,No Salary
Siemens,Senior Technical Lead,No Salary
ThingTrax,Flutter Developer,"Rs 50,000 a month"
Teknovate,GCP Devops Engineer,No Salary
Teknovate,GCPDevops Engineer,No Salary
AIWORKS.AI,Senior Frontend Developer (React JS),No Salary
Mentor Graphics Pakistan Development (Private)...,Senior Technical Lead,No Salary
Integriti,Junior C++ Developer,No Salary
Integriti,Senior C++ Developer,No Salary
