Name  ,User Name   ,Intro
usama7628674,Usama Abdul Sattar,No intro
saas786,saasfreelancer,"Owner of WordPress Themes shop https://HybopressThemes.com , freelance WordPress Developer, Food Enthusiast and a Proud Pakistani."
shaan360,Shaan M Khan,Working with startups to execute their ideas.
marsalans,Muhammad Arsalan Siddiqui,No intro
mumer92,Muhammad Umer,No intro
Sadam1195,Sadam Hussain Memon,Programmer | Artificial Intelligence | Machine Learning | Data Science | Python | C/C++ | Linux/Unix | Speech & Signal Processing
jawwad007,EngrJavad,Computer engineer @hsd-hyd @github @gdscpakistan @MLSA-Lahore @devclahore @cncf Islamabad @AWS-Community-Pakistan volunteer @gdscmuet dscvu @solutionfest
zahidaliayub,Media Administrator,http://www.linkedin.com/in/zahidaliayub
jawad6233,Jawad,No intro
IFarhankhan,Farhan,"14+ years experience building websites, games & mobile apps."
Manishmg3994,Manish Gautam (NEXT AMBANNI),Flutter Developer
inzkhan,Inzikhan,Flutter Developer.
hameesakhan,Hamees Ahmed Khan,No intro
